ENCRYPTION
Plaintext P:   0110001001100001011011100110000101101110011000010111001101110011
Key K:         0111000001100001011100110111001101110111011011110111001001100100
Ciphertext C:  0001011110010101110010100101101001100000010000000010100101011011
Running time:  0.0013061000000000322 seconds

Avalanche:

P and Pi under K
Round DES0  DES1  DES2  DES3  
0     1     1     1     1     
1     3     3     2     3     
2     11    11    2     7     
3     22    22    3     13    
4     30    30    4     18    
5     32    31    4     23    
6     32    31    5     27    
7     32    32    4     30    
8     32    32    4     31    
9     31    32    6     32    
10    32    33    8     32    
11    33    32    8     32    
12    32    33    7     31    
13    31    33    6     32    
14    32    32    6     32    
15    32    32    5     32    
16    31    32    5     32    

P under K and Ki
Round DES0  DES1  DES2  DES3  
0     0     0     0     0     
1     2     0     1     2     
2     12    0     2     8     
3     25    0     3     15    
4     31    0     5     20    
5     32    0     7     25    
6     32    0     9     29    
7     31    0     12    31    
8     31    0     13    31    
9     33    0     15    31    
10    33    0     18    32    
11    32    0     20    32    
12    31    0     22    32    
13    31    0     23    32    
14    32    0     25    31    
15    32    0     26    31    
16    33    0     26    31    
